trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
0,0,0,0,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
1,0,0,0,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
2,0,0,0,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
3,0,0,0,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
4,0,0,0,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
5,0,0,0,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
6,0,0,0,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
7,0,0,0,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
8,0,0,0,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
9,0,0,0,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
10,0,0,0,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
11,0,0,0,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
12,0,0,0,1,0,0.59999999999999998,0.59999999999999998,0.20000000000000001,0.35999999999999999,0.31999999999999995,1.0,False
13,0,0,0,1,0,0.59999999999999998,0.59999999999999998,0.20000000000000001,0.35999999999999999,0.31999999999999995,1.0,False
14,0,0,0,1,0,0.59999999999999998,0.59999999999999998,0.20000000000000001,0.35999999999999999,0.31999999999999995,1.0,False
15,1,0,0,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,False
16,1,0,0,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,False
17,1,0,0,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,False
18,1,0,0,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,False
19,1,0,0,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
20,1,0,0,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
21,1,0,0,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
22,1,0,0,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
23,1,0,0,1,0,0.40000000000000002,0.59999999999999998,0.20000000000000001,0.32000000000000006,0.68000000000000005,0.0,False
24,1,0,0,1,0,0.40000000000000002,0.59999999999999998,0.20000000000000001,0.32000000000000006,0.68000000000000005,0.0,False
25,0,0,1,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
26,0,0,1,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
