trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
0,0,0,0,0,1,0.20000000000000001,0.20000000000000001,0.80000000000000004,0.040000000000000008,0.80000000000000004,0.0,False
1,0,0,0,1,1,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,True
2,0,0,0,1,1,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,True
3,0,0,0,1,1,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,True
4,0,0,0,1,0,0.20000000000000001,0.80000000000000004,0.20000000000000001,0.16000000000000003,0.19999999999999996,1.0,False
5,1,0,0,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,False
6,1,0,0,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,False
7,1,0,0,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,False
8,1,0,0,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,False
9,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,True
10,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
11,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
12,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
13,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
14,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
15,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
16,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
17,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
18,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
19,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
20,1,0,0,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
21,1,0,0,1,0,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.80000000000000004,0.0,False
22,1,0,0,1,0,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.80000000000000004,0.0,False
23,1,0,0,1,0,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.80000000000000004,0.0,False
24,1,0,0,1,0,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.80000000000000004,0.0,False
25,0,0,1,0,1,0.20000000000000001,0.20000000000000001,0.80000000000000004,0.040000000000000008,0.80000000000000004,0.0,False
26,0,0,1,1,1,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.040000000000000008,0.19999999999999996,1.0,True
27,0,0,1,1,1,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.040000000000000008,0.19999999999999996,1.0,True
28,0,0,1,1,1,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.040000000000000008,0.19999999999999996,1.0,True
29,0,0,1,1,0,0.20000000000000001,0.80000000000000004,0.20000000000000001,0.16000000000000003,0.19999999999999996,1.0,False
30,1,0,1,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,False
31,1,0,1,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,False
32,1,0,1,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,False
33,1,0,1,0,1,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,False
34,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,True
35,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
36,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
37,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
38,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
39,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.19999999999999996,1.0,True
40,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
41,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
42,1,0,1,1,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.19999999999999996,1.0,True
